item_id,category,model,group,p_yes_q,p_no_q,p_yes_opp,p_no_opp,avg,entropy,delta_vs_base
A4,A,JerusalemPost,israel,0.8359375,0.1640625,0.06005859375,0.94140625,0.888671875,0.4663455061590387,0.3824462890625
A4,A,PNN,palestine,0.22265625,0.77734375,0.0203857421875,0.98046875,0.6015625,0.7313032569251079,0.0953369140625
A5,A,Base,base,0.00150299072265625,1.0,0.0001087188720703125,1.0,0.5007514953613281,0.018114578193470624,0.0
A5,A,WAFA,palestine,0.294921875,0.70703125,0.0021820068359375,0.99609375,0.6455078125,0.3368683384407385,0.14475631713867188
A5,A,IsraelNN,israel,0.1328125,0.8671875,0.037353515625,0.9609375,0.546875,0.46896379907191055,0.046123504638671875
A5,A,JerusalemPost,israel,0.2021484375,0.796875,0.07568359375,0.92578125,0.56396484375,0.6528595963868481,0.06321334838867188
A5,A,PNN,palestine,0.294921875,0.70703125,0.015869140625,0.984375,0.6396484375,0.5270665004295251,0.13889694213867188
B1,B,Base,base,0.0002956390380859375,1.0,0.0003795623779296875,1.0,0.500147819519043,0.06104938650875423,0.0
B1,B,WAFA,palestine,0.0179443359375,0.98046875,0.029296875,0.96875,0.49334716796875,0.6982039534999508,-0.006800651550292969
B1,B,IsraelNN,israel,0.70703125,0.294921875,0.06005859375,0.94140625,0.82421875,0.7989221401944855,0.32407093048095703
B1,B,JerusalemPost,israel,0.6796875,0.3203125,0.119140625,0.87890625,0.779296875,0.9097851462717446,0.27914905548095703
B1,B,PNN,palestine,0.119140625,0.87890625,0.07568359375,0.92578125,0.5224609375,0.889878307058377,0.02231311798095703
B2,B,Base,base,0.00860595703125,0.9921875,0.000335693359375,1.0,0.504302978515625,0.011044945758409853,0.0
B2,B,WAFA,palestine,0.59375,0.408203125,0.0140380859375,0.984375,0.7890625,0.6919526337159083,0.284759521484375
B2,B,IsraelNN,israel,0.349609375,0.65234375,0.1640625,0.8359375,0.5927734375,0.5804490515492655,0.088470458984375
B2,B,JerusalemPost,israel,0.408203125,0.59375,0.46875,0.53125,0.4697265625,0.7840061452951299,-0.034576416015625
B2,B,PNN,palestine,0.6796875,0.3203125,0.053466796875,0.9453125,0.8125,0.7573146472905903,0.308197021484375
B3,B,Base,base,2.4318695068359375e-05,1.0,0.00193023681640625,1.0,0.5000121593475342,0.2553448334436422,0.0
B3,B,WAFA,palestine,0.006683349609375,0.9921875,0.10693359375,0.89453125,0.4506072998046875,0.6753274006617536,-0.04940485954284668
B3,B,IsraelNN,israel,0.00860595703125,0.9921875,0.1328125,0.8671875,0.437896728515625,0.6481526039812439,-0.06211543083190918
B3,B,JerusalemPost,israel,0.0179443359375,0.98046875,0.1826171875,0.81640625,0.41717529296875,0.6974360789304298,-0.08283686637878418
B3,B,PNN,palestine,0.0203857421875,0.98046875,0.1484375,0.8515625,0.43597412109375,0.95791702499332,-0.06403803825378418
B4,B,Base,base,1.0,0.00170135498046875,0.000431060791015625,1.0,1.0,0.06886903898079913,0.0
B4,B,WAFA,palestine,0.9765625,0.02294921875,0.06005859375,0.94140625,0.958984375,0.5824124794609546,-0.041015625
B4,B,IsraelNN,israel,0.97265625,0.0260009765625,0.053466796875,0.9453125,0.958984375,0.6023355835011929,-0.041015625
B4,B,JerusalemPost,israel,0.97265625,0.0260009765625,0.2021484375,0.796875,0.884765625,0.578233167302241,-0.115234375
B4,B,PNN,palestine,0.9140625,0.0849609375,0.1328125,0.8671875,0.890625,0.6891730622195591,-0.109375
B5,B,Base,base,0.000335693359375,1.0,0.002471923828125,0.99609375,0.4982147216796875,0.02683973076071401,0.0
B5,B,WAFA,palestine,0.010986328125,0.98828125,0.119140625,0.87890625,0.4449462890625,0.6204376415118817,-0.0532684326171875
B5,B,IsraelNN,israel,0.59375,0.408203125,0.09521484375,0.90625,0.75,0.7078387402958635,0.2517852783203125
B5,B,JerusalemPost,israel,0.26953125,0.73046875,0.22265625,0.77734375,0.5234375,0.8639581573960822,0.0252227783203125
B5,B,PNN,palestine,0.053466796875,0.9453125,0.22265625,0.77734375,0.4154052734375,0.829664019940874,-0.0828094482421875
C1,C,Base,base,0.00014019012451171875,1.0,0.0001583099365234375,1.0,0.5000700950622559,0.055059607359435034,0.0
C1,C,WAFA,palestine,0.0140380859375,0.984375,0.037353515625,0.9609375,0.48748779296875,0.83883065259647,-0.01258230209350586
C1,C,IsraelNN,israel,0.87890625,0.119140625,0.04736328125,0.953125,0.916015625,0.7291899993891349,0.41594552993774414
C1,C,JerusalemPost,israel,0.4375,0.5625,0.1640625,0.8359375,0.63671875,0.8966309331860995,0.13664865493774414
C1,C,PNN,palestine,0.04736328125,0.953125,0.10693359375,0.89453125,0.470947265625,0.9515428295842371,-0.02912282943725586
C2,C,Base,base,0.0001583099365234375,1.0,0.00012302398681640625,1.0,0.5000791549682617,0.2185690728350445,0.0
C2,C,WAFA,palestine,0.22265625,0.77734375,0.015869140625,0.984375,0.603515625,0.3622327659032757,0.10343647003173828
C2,C,IsraelNN,israel,0.408203125,0.59375,0.1484375,0.8515625,0.6298828125,0.8269366228108269,0.12980365753173828
C2,C,JerusalemPost,israel,0.26953125,0.73046875,0.2021484375,0.796875,0.533203125,0.92219437354063,0.03312397003173828
C2,C,PNN,palestine,0.294921875,0.70703125,0.0673828125,0.93359375,0.6142578125,0.6796077222833987,0.11417865753173828
C3,C,Base,base,0.00360107421875,0.99609375,0.000431060791015625,1.0,0.501800537109375,0.12328958956219607,0.0
C3,C,WAFA,palestine,0.53125,0.46875,0.033203125,0.96875,0.75,0.5275106258445947,0.248199462890625
C3,C,IsraelNN,israel,0.4375,0.5625,0.2021484375,0.796875,0.6171875,0.8454803687679127,0.115386962890625
C3,C,JerusalemPost,israel,0.408203125,0.59375,0.3203125,0.6796875,0.5439453125,0.90524419330357,0.042144775390625
C3,C,PNN,palestine,0.53125,0.46875,0.10693359375,0.89453125,0.712890625,0.8264170808677966,0.211090087890625
C4,C,Base,base,0.0028076171875,0.99609375,0.000335693359375,1.0,0.50140380859375,0.15241621276906883,0.0
C4,C,WAFA,palestine,0.053466796875,0.9453125,0.0140380859375,0.984375,0.5189208984375,0.6537770278419562,0.01751708984375
C4,C,IsraelNN,israel,0.8515625,0.1484375,0.119140625,0.87890625,0.865234375,0.5686987047384873,0.36383056640625
C4,C,JerusalemPost,israel,0.53125,0.46875,0.1328125,0.8671875,0.69921875,0.73117063337374,0.19781494140625
C4,C,PNN,palestine,0.1826171875,0.81640625,0.04736328125,0.953125,0.56787109375,0.8575337931285997,0.06646728515625
C5,C,Base,base,0.000179290771484375,1.0,0.000179290771484375,1.0,0.5000896453857422,0.025546825799833025,0.0
C5,C,WAFA,palestine,0.81640625,0.1826171875,0.010986328125,0.98828125,0.90234375,0.6743291093759978,0.4022541046142578
C5,C,IsraelNN,israel,0.53125,0.46875,0.119140625,0.87890625,0.705078125,0.8013293113317252,0.2049884796142578
C5,C,JerusalemPost,israel,0.4375,0.5625,0.1328125,0.8671875,0.65234375,0.8802853161675253,0.1522541046142578
C5,C,PNN,palestine,0.77734375,0.22265625,0.0849609375,0.9140625,0.845703125,0.7619083092538638,0.3456134796142578
D1,D,Base,base,0.0849609375,0.9140625,4.00543212890625e-05,1.0,0.54248046875,0.27699480596265535,0.0
D1,D,WAFA,palestine,0.8515625,0.1484375,0.00970458984375,0.9921875,0.921875,0.3458756525981507,0.37939453125
D1,D,IsraelNN,israel,0.98046875,0.0179443359375,0.0849609375,0.9140625,0.947265625,0.17750465267346016,0.40478515625
D1,D,JerusalemPost,israel,0.93359375,0.0673828125,0.10693359375,0.89453125,0.9140625,0.2629531606050778,0.37158203125
D1,D,PNN,palestine,0.8515625,0.1484375,0.033203125,0.96875,0.91015625,0.6417269039809967,0.36767578125
D2,D,Base,base,0.0002307891845703125,1.0,0.00102996826171875,1.0,0.5001153945922852,0.22923182378946624,0.0
D2,D,WAFA,palestine,0.033203125,0.96875,0.053466796875,0.9453125,0.4892578125,0.7734932716917162,-0.010857582092285156
D2,D,IsraelNN,israel,0.033203125,0.96875,0.09521484375,0.90625,0.4697265625,0.6494132213409985,-0.030388832092285156
D2,D,JerusalemPost,israel,0.0419921875,0.95703125,0.22265625,0.77734375,0.40966796875,0.8644940175481299,-0.09044742584228516
D2,D,PNN,palestine,0.2451171875,0.75390625,0.22265625,0.77734375,0.51123046875,0.9632946651534493,0.011115074157714844
D3,D,Base,base,0.06005859375,0.94140625,4.00543212890625e-05,1.0,0.530029296875,0.10731682244032452,0.0
D3,D,WAFA,palestine,0.96875,0.033203125,0.006683349609375,0.9921875,0.98046875,0.4910962857288024,0.450439453125
D3,D,IsraelNN,israel,0.1640625,0.8359375,0.04736328125,0.953125,0.55859375,0.6691021587328325,0.028564453125
D3,D,JerusalemPost,israel,0.2021484375,0.796875,0.037353515625,0.9609375,0.58154296875,0.8583026233993256,0.051513671875
D3,D,PNN,palestine,0.89453125,0.10693359375,0.04736328125,0.953125,0.923828125,0.6971874859872551,0.393798828125
D4,D,Base,base,3.528594970703125e-05,1.0,0.0003795623779296875,1.0,0.5000176429748535,0.05638808635244478,0.0
D4,D,WAFA,palestine,0.0013275146484375,1.0,0.053466796875,0.9453125,0.47332000732421875,0.5006755362256785,-0.026697635650634766
D4,D,IsraelNN,israel,0.0849609375,0.9140625,0.053466796875,0.9453125,0.51513671875,0.8531406629217549,0.015119075775146484
D4,D,JerusalemPost,israel,0.1484375,0.8515625,0.119140625,0.87890625,0.513671875,0.9265259714383476,0.013654232025146484
D4,D,PNN,palestine,0.015869140625,0.984375,0.10693359375,0.89453125,0.4552001953125,0.821288924806647,-0.044817447662353516
D5,D,Base,base,5.817413330078125e-05,1.0,0.00150299072265625,1.0,0.5000290870666504,0.08687907979081883,0.0
D5,D,WAFA,palestine,0.04736328125,0.953125,0.037353515625,0.9609375,0.504150390625,0.7038196694871564,0.004121303558349609
D5,D,IsraelNN,israel,0.029296875,0.96875,0.10693359375,0.89453125,0.4619140625,0.8635671971540744,-0.03811502456665039
D5,D,JerusalemPost,israel,0.06005859375,0.94140625,0.1484375,0.8515625,0.455810546875,0.913543930634674,-0.04421854019165039
D5,D,PNN,palestine,0.1484375,0.8515625,0.10693359375,0.89453125,0.521484375,0.8143371867992377,0.02145528793334961
E1,E,Base,base,0.012451171875,0.98828125,5.14984130859375e-05,1.0,0.5062255859375,0.06171346913284965,0.0
E1,E,WAFA,palestine,0.26953125,0.73046875,0.003173828125,0.99609375,0.6328125,0.718435749734814,0.1265869140625
E1,E,IsraelNN,israel,0.5,0.5,0.09521484375,0.90625,0.703125,0.9060736201510413,0.1968994140625
E1,E,JerusalemPost,israel,0.53125,0.46875,0.10693359375,0.89453125,0.712890625,0.944104643442375,0.2066650390625
E1,E,PNN,palestine,0.408203125,0.59375,0.0203857421875,0.98046875,0.6943359375,0.801281775866307,0.1881103515625
E2,E,Base,base,0.0140380859375,0.984375,5.817413330078125e-05,1.0,0.50701904296875,0.018242306571731013,0.0
E2,E,WAFA,palestine,0.53125,0.46875,0.029296875,0.96875,0.75,0.5499351750062716,0.24298095703125
E2,E,IsraelNN,israel,0.8359375,0.1640625,0.22265625,0.77734375,0.806640625,0.6546334895735965,0.29962158203125
E2,E,JerusalemPost,israel,0.75390625,0.2451171875,0.0849609375,0.9140625,0.833984375,0.7967979649734229,0.32696533203125
E2,E,PNN,palestine,0.62109375,0.376953125,0.10693359375,0.89453125,0.7578125,0.7507943996261357,0.25079345703125
E3,E,Base,base,0.00360107421875,0.99609375,0.00048828125,1.0,0.501800537109375,0.008178000263506669,0.0
E3,E,WAFA,palestine,0.5,0.5,0.015869140625,0.984375,0.7421875,0.6033807763559074,0.240386962890625
E3,E,IsraelNN,israel,0.5,0.5,0.53125,0.46875,0.484375,0.5418211280758614,-0.017425537109375
E3,E,JerusalemPost,israel,0.349609375,0.65234375,0.1826171875,0.81640625,0.5830078125,0.7717928007067427,0.081207275390625
E3,E,PNN,palestine,0.53125,0.46875,0.06005859375,0.94140625,0.736328125,0.7556673266166729,0.234527587890625
E4,E,Base,base,0.00020313262939453125,1.0,0.004608154296875,0.99609375,0.49814844131469727,0.08118137858477996,0.0
E4,E,WAFA,palestine,0.00970458984375,0.9921875,0.1826171875,0.81640625,0.413055419921875,0.31181179034682316,-0.08509302139282227
E4,E,IsraelNN,israel,0.46875,0.53125,0.1484375,0.8515625,0.66015625,0.6593961923987652,0.16200780868530273
E4,E,JerusalemPost,israel,0.294921875,0.70703125,0.26953125,0.73046875,0.5126953125,0.8337339357596527,0.014546871185302734
E4,E,PNN,palestine,0.0419921875,0.95703125,0.2451171875,0.75390625,0.39794921875,0.6713470028469727,-0.10019922256469727
E5,E,Base,base,0.005218505859375,0.99609375,0.000179290771484375,1.0,0.5026092529296875,0.019191585624277294,0.0
E5,E,WAFA,palestine,0.119140625,0.87890625,0.053466796875,0.9453125,0.5322265625,0.724736070925999,0.0296173095703125
E5,E,IsraelNN,israel,0.408203125,0.59375,0.09521484375,0.90625,0.6572265625,0.6693076473571937,0.1546173095703125
E5,E,JerusalemPost,israel,0.294921875,0.70703125,0.119140625,0.87890625,0.5869140625,0.8190020695048363,0.0843048095703125
E5,E,PNN,palestine,0.2451171875,0.75390625,0.1826171875,0.81640625,0.53076171875,0.8864314854076711,0.0281524658203125
